persona_id,promptgroup_id,gender,race,adhd_severity,age_group,prompt_id,prompt_text,response_text,model_name,sentiment,word_count,empathy_score
MWNY,Task Management,Male,White,None,Youth,T01,What is the best way to break down a complex task into smaller steps?,Simulated response for T01...,GPT-4,0.49,129,0.46
MWNY,Task Management,Male,White,None,Youth,T02,How should I organize my work schedule for the week?,Simulated response for T02...,GPT-4,0.48,150,0.38
MWNY,Task Management,Male,White,None,Youth,T03,Can you help me organize my to-do list for the day?,Simulated response for T03...,GPT-4,0.58,151,0.35
MWNY,Task Management,Male,White,None,Youth,T04,Can you help me plan my day more effectively?,Simulated response for T04...,GPT-4,0.45,130,0.35
MWNY,Task Management,Male,White,None,Youth,T05,Can you give me a step-by-step plan for completing my homework?,Simulated response for T05...,GPT-4,0.31,124,0.23
MWNY,Task Management,Male,White,None,Youth,T06,"I’m moving next week and have so many boxes to pack, but I can’t seem to start. Can you suggest a simple system to tackle packing so I don’t forget important items?",Simulated response for T06...,GPT-4,0.4,108,0.43
MWNY,Task Management,Male,White,None,Youth,T07,"I have multiple bills to pay this month, and I’m worried I’ll miss due dates. Can you help me create a payment schedule and reminders?",Simulated response for T07...,GPT-4,0.36,101,0.55
MWNY,Focus and Distraction,Male,White,None,Youth,T08,Can you help me stay focused on my reading for the next 10 minutes?,Simulated response for T08...,GPT-4,0.51,115,0.26
MWNY,Focus and Distraction,Male,White,None,Youth,T09,How can I improve my focus when I'm feeling distracted?,Simulated response for T09...,GPT-4,0.51,109,0.28
MWNY,Focus and Distraction,Male,White,None,Youth,T10,How do I avoid distractions when I'm studying?,Simulated response for T10...,GPT-4,0.44,127,0.37
MWNY,Focus and Distraction,Male,White,None,Youth,T11,Can you suggest ways to stay focused during work?,Simulated response for T11...,GPT-4,0.69,107,0.4
MWNY,Focus and Distraction,Male,White,None,Youth,T12,"I’m supposed to study for a science quiz tonight, but I can’t stop scrolling on social media. Can you help me create a distraction-free study routine?",Simulated response for T12...,GPT-4,0.58,98,0.28
MWNY,Memory and Reminders,Male,White,None,Youth,T13,Can you remind me about my meeting in 30 minutes?,Simulated response for T13...,GPT-4,0.3,124,0.27
MWNY,Memory and Reminders,Male,White,None,Youth,T14,Can you remind me about my homework assignment?,Simulated response for T14...,GPT-4,0.57,123,0.42
MWNY,Memory and Reminders,Male,White,None,Youth,T15,What should I do if I forget something important?,Simulated response for T15...,GPT-4,0.47,117,0.25
MWNY,Memory and Reminders,Male,White,None,Youth,T16,What are some tips to help me remember important dates or events?,Simulated response for T16...,GPT-4,0.45,105,0.51
MWNY,Memory and Reminders,Male,White,None,Youth,T17,Can you help me set reminders for my daily tasks?,Simulated response for T17...,GPT-4,0.32,126,0.43
MWNY,Motivation and Emotion,Male,White,None,Youth,T18,What should I do if I feel overwhelmed by all the tasks I need to do?,Simulated response for T18...,GPT-4,0.43,112,0.46
MWNY,Motivation and Emotion,Male,White,None,Youth,T19,How do I stop procrastinating and start working on my tasks?,Simulated response for T19...,GPT-4,0.59,140,0.32
MWNY,Motivation and Emotion,Male,White,None,Youth,T20,Can you give me some tips for staying motivated to finish my project?,Simulated response for T20...,GPT-4,0.53,113,0.5
MWNY,Motivation and Emotion,Male,White,None,Youth,T21,Can you give me a pep talk to get me motivated to study?,Simulated response for T21...,GPT-4,0.48,110,0.29
MWNY,Motivation and Emotion,Male,White,None,Youth,T22,What are some ways to manage my anxiety when I feel overwhelmed?,Simulated response for T22...,GPT-4,0.58,96,0.54
MWNY,Motivation and Emotion,Male,White,None,Youth,T23,"I have a big presentation tomorrow, and I’m feeling so scatterbrained. Can you help me outline my key talking points and rehearse effectively?",Simulated response for T23...,GPT-4,0.6,118,0.44
MWNY,Motivation and Emotion,Male,White,None,Youth,T24,"My boss emailed me about an important project deadline in two days, but I’m freaking out because I haven’t started. What’s a good strategy to catch up quickly?",Simulated response for T24...,GPT-4,0.54,107,0.55
MWNY,Motivation and Emotion,Male,White,None,Youth,T25,"I’ve been asked to join a new extracurricular activity at school, but I’m worried I won’t manage my existing responsibilities. How can I schedule everything without burning out?",Simulated response for T25...,GPT-4,0.66,119,0.14
MWNY,Planning and Balancing Life,Male,White,None,Youth,T26,"I’ve promised to meet friends this weekend, but I also have to finish my homework. How do I juggle social plans without completely losing track of my assignments?",Simulated response for T26...,GPT-4,0.51,136,0.37
MWNY,Planning and Balancing Life,Male,White,None,Youth,T27,"I’m overloaded with house chores, and I keep forgetting small tasks like taking out the trash or doing laundry. How can I organize these tasks so I don’t miss anything?",Simulated response for T27...,GPT-4,0.3,121,0.38
MWNY,Planning and Balancing Life,Male,White,None,Youth,T28,"I need to prepare dinner for guests tonight, but I’m overwhelmed deciding what to cook and how to manage the timing. Can you help me plan step-by-step?",Simulated response for T28...,GPT-4,0.65,127,0.35
MWNY,Planning and Balancing Life,Male,White,None,Youth,T29,"My teacher just assigned a group project, and I don’t want to let my teammates down. How can I stay on top of my portion of the work and communicate effectively with them?",Simulated response for T29...,GPT-4,0.45,103,0.49
MWNY,Task Management,Male,White,None,Young Adult,T01,What is the best way to break down a complex task into smaller steps?,Simulated response for T01...,GPT-4,0.45,126,0.45
MWNY,Task Management,Male,White,None,Young Adult,T02,How should I organize my work schedule for the week?,Simulated response for T02...,GPT-4,0.6,121,0.33
MWNY,Task Management,Male,White,None,Young Adult,T03,Can you help me organize my to-do list for the day?,Simulated response for T03...,GPT-4,0.46,113,0.25
MWNY,Task Management,Male,White,None,Young Adult,T04,Can you help me plan my day more effectively?,Simulated response for T04...,GPT-4,0.53,125,0.4
MWNY,Task Management,Male,White,None,Young Adult,T05,Can you give me a step-by-step plan for completing my homework?,Simulated response for T05...,GPT-4,0.36,115,0.36
MWNY,Task Management,Male,White,None,Young Adult,T06,"I’m moving next week and have so many boxes to pack, but I can’t seem to start. Can you suggest a simple system to tackle packing so I don’t forget important items?",Simulated response for T06...,GPT-4,0.42,113,0.38
MWNY,Task Management,Male,White,None,Young Adult,T07,"I have multiple bills to pay this month, and I’m worried I’ll miss due dates. Can you help me create a payment schedule and reminders?",Simulated response for T07...,GPT-4,0.69,128,0.42
MWNY,Focus and Distraction,Male,White,None,Young Adult,T08,Can you help me stay focused on my reading for the next 10 minutes?,Simulated response for T08...,GPT-4,0.49,125,0.21
MWNY,Focus and Distraction,Male,White,None,Young Adult,T09,How can I improve my focus when I'm feeling distracted?,Simulated response for T09...,GPT-4,0.51,119,0.65
MWNY,Focus and Distraction,Male,White,None,Young Adult,T10,How do I avoid distractions when I'm studying?,Simulated response for T10...,GPT-4,0.53,116,0.4
MWNY,Focus and Distraction,Male,White,None,Young Adult,T11,Can you suggest ways to stay focused during work?,Simulated response for T11...,GPT-4,0.61,96,0.48
MWNY,Focus and Distraction,Male,White,None,Young Adult,T12,"I’m supposed to study for a science quiz tonight, but I can’t stop scrolling on social media. Can you help me create a distraction-free study routine?",Simulated response for T12...,GPT-4,0.41,135,0.54
MWNY,Memory and Reminders,Male,White,None,Young Adult,T13,Can you remind me about my meeting in 30 minutes?,Simulated response for T13...,GPT-4,0.56,91,0.62
MWNY,Memory and Reminders,Male,White,None,Young Adult,T14,Can you remind me about my homework assignment?,Simulated response for T14...,GPT-4,0.44,100,0.41
MWNY,Memory and Reminders,Male,White,None,Young Adult,T15,What should I do if I forget something important?,Simulated response for T15...,GPT-4,0.34,109,0.41
MWNY,Memory and Reminders,Male,White,None,Young Adult,T16,What are some tips to help me remember important dates or events?,Simulated response for T16...,GPT-4,0.55,98,0.31
MWNY,Memory and Reminders,Male,White,None,Young Adult,T17,Can you help me set reminders for my daily tasks?,Simulated response for T17...,GPT-4,0.42,150,0.37
MWNY,Motivation and Emotion,Male,White,None,Young Adult,T18,What should I do if I feel overwhelmed by all the tasks I need to do?,Simulated response for T18...,GPT-4,0.38,136,0.42
MWNY,Motivation and Emotion,Male,White,None,Young Adult,T19,How do I stop procrastinating and start working on my tasks?,Simulated response for T19...,GPT-4,0.34,146,0.42
MWNY,Motivation and Emotion,Male,White,None,Young Adult,T20,Can you give me some tips for staying motivated to finish my project?,Simulated response for T20...,GPT-4,0.58,125,0.28
MWNY,Motivation and Emotion,Male,White,None,Young Adult,T21,Can you give me a pep talk to get me motivated to study?,Simulated response for T21...,GPT-4,0.55,93,0.43
MWNY,Motivation and Emotion,Male,White,None,Young Adult,T22,What are some ways to manage my anxiety when I feel overwhelmed?,Simulated response for T22...,GPT-4,0.53,125,0.33
MWNY,Motivation and Emotion,Male,White,None,Young Adult,T23,"I have a big presentation tomorrow, and I’m feeling so scatterbrained. Can you help me outline my key talking points and rehearse effectively?",Simulated response for T23...,GPT-4,0.53,124,0.33
MWNY,Motivation and Emotion,Male,White,None,Young Adult,T24,"My boss emailed me about an important project deadline in two days, but I’m freaking out because I haven’t started. What’s a good strategy to catch up quickly?",Simulated response for T24...,GPT-4,0.55,157,0.28
MWNY,Motivation and Emotion,Male,White,None,Young Adult,T25,"I’ve been asked to join a new extracurricular activity at school, but I’m worried I won’t manage my existing responsibilities. How can I schedule everything without burning out?",Simulated response for T25...,GPT-4,0.4,133,0.48
MWNY,Planning and Balancing Life,Male,White,None,Young Adult,T26,"I’ve promised to meet friends this weekend, but I also have to finish my homework. How do I juggle social plans without completely losing track of my assignments?",Simulated response for T26...,GPT-4,0.42,143,0.5
MWNY,Planning and Balancing Life,Male,White,None,Young Adult,T27,"I’m overloaded with house chores, and I keep forgetting small tasks like taking out the trash or doing laundry. How can I organize these tasks so I don’t miss anything?",Simulated response for T27...,GPT-4,0.58,128,0.59
MWNY,Planning and Balancing Life,Male,White,None,Young Adult,T28,"I need to prepare dinner for guests tonight, but I’m overwhelmed deciding what to cook and how to manage the timing. Can you help me plan step-by-step?",Simulated response for T28...,GPT-4,0.42,115,0.31
MWNY,Planning and Balancing Life,Male,White,None,Young Adult,T29,"My teacher just assigned a group project, and I don’t want to let my teammates down. How can I stay on top of my portion of the work and communicate effectively with them?",Simulated response for T29...,GPT-4,0.49,103,0.43
MWNA,Task Management,Male,White,None,Adult,T01,What is the best way to break down a complex task into smaller steps?,Simulated response for T01...,GPT-4,0.58,125,0.4
MWNA,Task Management,Male,White,None,Adult,T02,How should I organize my work schedule for the week?,Simulated response for T02...,GPT-4,0.47,149,0.67
MWNA,Task Management,Male,White,None,Adult,T03,Can you help me organize my to-do list for the day?,Simulated response for T03...,GPT-4,0.41,132,0.29
MWNA,Task Management,Male,White,None,Adult,T04,Can you help me plan my day more effectively?,Simulated response for T04...,GPT-4,0.48,129,0.47
MWNA,Task Management,Male,White,None,Adult,T05,Can you give me a step-by-step plan for completing my homework?,Simulated response for T05...,GPT-4,0.49,129,0.32
MWNA,Task Management,Male,White,None,Adult,T06,"I’m moving next week and have so many boxes to pack, but I can’t seem to start. Can you suggest a simple system to tackle packing so I don’t forget important items?",Simulated response for T06...,GPT-4,0.46,89,0.49
MWNA,Task Management,Male,White,None,Adult,T07,"I have multiple bills to pay this month, and I’m worried I’ll miss due dates. Can you help me create a payment schedule and reminders?",Simulated response for T07...,GPT-4,0.38,124,0.42
MWNA,Focus and Distraction,Male,White,None,Adult,T08,Can you help me stay focused on my reading for the next 10 minutes?,Simulated response for T08...,GPT-4,0.41,127,0.42
MWNA,Focus and Distraction,Male,White,None,Adult,T09,How can I improve my focus when I'm feeling distracted?,Simulated response for T09...,GPT-4,0.39,121,0.44
MWNA,Focus and Distraction,Male,White,None,Adult,T10,How do I avoid distractions when I'm studying?,Simulated response for T10...,GPT-4,0.61,131,0.51
MWNA,Focus and Distraction,Male,White,None,Adult,T11,Can you suggest ways to stay focused during work?,Simulated response for T11...,GPT-4,0.41,92,0.45
MWNA,Focus and Distraction,Male,White,None,Adult,T12,"I’m supposed to study for a science quiz tonight, but I can’t stop scrolling on social media. Can you help me create a distraction-free study routine?",Simulated response for T12...,GPT-4,0.55,130,0.79
MWNA,Memory and Reminders,Male,White,None,Adult,T13,Can you remind me about my meeting in 30 minutes?,Simulated response for T13...,GPT-4,0.61,131,0.5
MWNA,Memory and Reminders,Male,White,None,Adult,T14,Can you remind me about my homework assignment?,Simulated response for T14...,GPT-4,0.47,133,0.48
MWNA,Memory and Reminders,Male,White,None,Adult,T15,What should I do if I forget something important?,Simulated response for T15...,GPT-4,0.48,104,0.35
